gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
620997295																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3236							MALE	Immature							PRESENT	Stomach Contents - 1; Frozen Tissue - 1; Skin - 1							ISU Campus B-1221											2001-09-14T00:00:00				2001	9	14											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Vireo olivaceus (Linnaeus, 1766)							Vireo olivaceus	Animalia	Chordata	Aves	Passeriformes	Vireonidae		Vireo	Vireo			olivaceus			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.972Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2487430	2487430	1	44	212	729	9358	2487406		2487430	Vireo olivaceus	Vireo olivaceus (Linnaeus, 1766)	Vireo olivaceus		EML	2023-01-25T12:53:48.972Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997294																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3235							MALE	Immature							PRESENT	Skin - 1; Frozen Tissue - 1							ISU Campus B-1223											2001-09-20T00:00:00				2001	9	20											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Passer domesticus (Linnaeus, 1758)							Passer domesticus	Animalia	Chordata	Aves	Passeriformes	Passeridae		Passer	Passer			domesticus			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.972Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	5231190	5231190	1	44	212	729	5264	2492321		5231190	Passer domesticus	Passer domesticus (Linnaeus, 1758)	Passer domesticus		EML	2023-01-25T12:53:48.972Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997293																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3234							MALE	Adult							PRESENT	Frozen Tissue - 1; Stomach Contents - 1; Skin - 1							B-1235											2010-05-04T00:00:00				2010	5	4											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Zonotrichia albicollis (J.F.Gmelin, 1789)							Zonotrichia albicollis	Animalia	Chordata	Aves	Passeriformes	Emberizidae		Zonotrichia	Zonotrichia			albicollis			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.972Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	5231140	5231140	1	44	212	729	9608	6173226		5231140	Zonotrichia albicollis	Zonotrichia albicollis (J.F.Gmelin, 1789)	Zonotrichia albicollis		EML	2023-01-25T12:53:48.972Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997292																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3233							MALE	Immature							PRESENT	Frozen Tissue - 1; Skin - 1; Skin - 1							B-1222											2001-09-23T00:00:00				2001	9	23											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Bloomington									40.48417	-88.99361																																																		Seiurus aurocapillus (Linnaeus, 1766)							Seiurus aurocapillus	Animalia	Chordata	Aves	Passeriformes	Parulidae		Seiurus	Seiurus			aurocapillus			SPECIES				SYNONYM			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.972Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2489595	2489590	1	44	212	729	5263	2489584		2489590	Seiurus aurocapilla	Seiurus aurocapilla (Linnaeus, 1766)	Seiurus aurocapillus		EML	2023-01-25T12:53:48.972Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			NE	
620997291																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3232							FEMALE	Immature							PRESENT	Skin - 1; Frozen Tissue - 1							B-1224											2004-11-02T00:00:00				2004	11	2											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Bloomington									40.48417	-88.99361																																																		Spinus tristis (Linnaeus, 1758)							Spinus tristis	Animalia	Chordata	Aves	Passeriformes	Fringillidae		Spinus	Spinus			tristis			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.973Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	5231640	5231640	1	44	212	729	5242	8051475		5231640	Spinus tristis	Spinus tristis (Linnaeus, 1758)	Spinus tristis		EML	2023-01-25T12:53:48.973Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997290																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3231							MALE	Adult							PRESENT	Skin - 1; Frozen Tissue - 1							B1219											2001-05-09T00:00:00				2001	5	9											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Bloomington									40.48417	-88.99361																																																		Passerina cyanea (Linnaeus, 1766)							Passerina cyanea	Animalia	Chordata	Aves	Passeriformes	Cardinalidae		Passerina	Passerina			cyanea			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.973Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2490327	2490327	1	44	212	729	9285	2490326		2490327	Passerina cyanea	Passerina cyanea (Linnaeus, 1766)	Passerina cyanea		EML	2023-01-25T12:53:48.973Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997289																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3230							MALE	Immature							PRESENT	Skin - 1; Frozen Tissue - 1							WILL-TV Tower B-1326											2006-10-05T00:00:00				2006	10	5											Piatt, Illinois, United States of America	NORTH_AMERICA				US	Illinois	Piatt		Monticello																																																												Vireo flavifrons Vieillot, 1808							Vireo flavifrons	Animalia	Chordata	Aves	Passeriformes	Vireonidae		Vireo	Vireo			flavifrons			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.973Z								AMBIGUOUS_INSTITUTION		false	false	2487453	2487453	1	44	212	729	9358	2487406		2487453	Vireo flavifrons	Vireo flavifrons Vieillot, 1808	Vireo flavifrons		EML	2023-01-25T12:53:48.973Z	2023-01-08T01:50:22.457Z	false										LC	
620997288																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3229							MALE	Adult							PRESENT	Stomach Contents - 1; Skin - 1; Frozen Tissue - 1							ISU Campus B-1276											2006-05-24T00:00:00				2006	5	24											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Vireo olivaceus (Linnaeus, 1766)							Vireo olivaceus	Animalia	Chordata	Aves	Passeriformes	Vireonidae		Vireo	Vireo			olivaceus			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2487430	2487430	1	44	212	729	9358	2487406		2487430	Vireo olivaceus	Vireo olivaceus (Linnaeus, 1766)	Vireo olivaceus		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
620997287																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3228							MALE	Immature							PRESENT	Skin - 1; Stomach Contents - 1; Frozen Tissue - 1							Forest Park Nature Center B-1226											2010-07-23T00:00:00				2010	7	23											Peoria, Illinois, United States of America	NORTH_AMERICA				US	Illinois	Peoria		Peoria Heights									40.74722	-89.57389																																																		Poecile atricapillus (Linnaeus, 1766)							Poecile atricapillus	Animalia	Chordata	Aves	Passeriformes	Paridae		Poecile	Poecile			atricapillus			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2487805	2487805	1	44	212	729	9327	2487782		2487805	Poecile atricapillus	Poecile atricapillus (Linnaeus, 1766)	Poecile atricapillus		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.73_1	Peoria			LC	
620997286																																				CC0_1_0																							ISU	Birds			PRESERVED_SPECIMEN					3227							MALE	Adult							PRESENT	Frozen Tissue - 1; Stomach Contents - 1; Skel - 1							ISU Campus B-1258											2010-05-13T00:00:00				2010	5	13											McLean, Illinois, United States of America	NORTH_AMERICA				US	Illinois	McLean		Normal									40.51417	-88.99056																																																		Mniotilta varia (Linnaeus, 1766)							Mniotilta varia	Animalia	Chordata	Aves	Passeriformes	Parulidae		Mniotilta	Mniotilta			varia			SPECIES				ACCEPTED			fcba1f2e-c8b8-491f-8b5f-62fae3157cc7	US	2023-01-25T12:53:48.970Z								GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION		true	false	2489613	2489613	1	44	212	729	5263	2489612		2489613	Mniotilta varia	Mniotilta varia (Linnaeus, 1766)	Mniotilta varia		EML	2023-01-25T12:53:48.970Z	2023-01-08T01:50:22.457Z	false		USA	United States	USA.14_1	Illinois	USA.14.65_1	McLean			LC	
