gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
620997295																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3236							Male	immature								Stomach Contents - 1; Frozen Tissue - 1; Skin - 1								ISU Campus B-1221											2001-09-14				2001	9	14											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Vireo olivaceus							Vireo olivaceus	Animalia	Chordata	Aves	Passeriformes	Vireonidae		Vireo				olivaceus										
620997294																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3235							Male	immature								Skin - 1; Frozen Tissue - 1								ISU Campus B-1223											2001-09-20				2001	9	20											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Passer domesticus							Passer domesticus	Animalia	Chordata	Aves	Passeriformes	Passeridae		Passer				domesticus										
620997293																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3234							Male	adult								Frozen Tissue - 1; Stomach Contents - 1; Skin - 1								B-1235											2010-05-04				2010	5	4											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Zonotrichia albicollis							Zonotrichia albicollis	Animalia	Chordata	Aves	Passeriformes	Emberizidae		Zonotrichia				albicollis										
620997292																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3233							Male	immature								Frozen Tissue - 1; Skin - 1; Skin - 1								B-1222											2001-09-23				2001	9	23											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Seiurus aurocapillus							Seiurus aurocapillus	Animalia	Chordata	Aves	Passeriformes	Parulidae		Seiurus				aurocapillus										
620997291																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3232							Female	immature								Skin - 1; Frozen Tissue - 1								B-1224											2004-11-02				2004	11	2											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Spinus tristis							Spinus tristis	Animalia	Chordata	Aves	Passeriformes	Fringillidae		Spinus				tristis										
620997290																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3231							Male	adult								Skin - 1; Frozen Tissue - 1								B1219											2001-05-09				2001	5	9											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Bloomington													40.4841700000	-88.9936100000						40.4841700° N	88.9936100° W																																															Passerina cyanea							Passerina cyanea	Animalia	Chordata	Aves	Passeriformes	Cardinalidae		Passerina				cyanea										
620997289																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3230							Male	immature								Skin - 1; Frozen Tissue - 1								WILL-TV Tower B-1326											2006-10-05				2006	10	5											Piatt, Illinois, United States of America	North America				United States of America		Illinois	Piatt		Monticello																																																																				Vireo flavifrons							Vireo flavifrons	Animalia	Chordata	Aves	Passeriformes	Vireonidae		Vireo				flavifrons										
620997288																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3229							Male	adult								Stomach Contents - 1; Skin - 1; Frozen Tissue - 1								ISU Campus B-1276											2006-05-24				2006	5	24											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Vireo olivaceus							Vireo olivaceus	Animalia	Chordata	Aves	Passeriformes	Vireonidae		Vireo				olivaceus										
620997287																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3228							Male	immature								Skin - 1; Stomach Contents - 1; Frozen Tissue - 1								Forest Park Nature Center B-1226											2010-07-23				2010	7	23											Peoria, Illinois, United States of America	North America				United States of America		Illinois	Peoria		Peoria Heights													40.7472200000	-89.5738900000						40.7472200° N	89.5738900° W																																															Poecile atricapillus							Poecile atricapillus	Animalia	Chordata	Aves	Passeriformes	Paridae		Poecile				atricapillus										
620997286																																							2012-06-09 00:00:00.0																				ISU	Birds			PreservedSpecimen					3227							Male	adult								Frozen Tissue - 1; Stomach Contents - 1; Skel - 1								ISU Campus B-1258											2010-05-13				2010	5	13											McLean, Illinois, United States of America	North America				United States of America		Illinois	McLean		Normal													40.5141700000	-88.9905600000						40.5141700° N	88.9905600° W																																															Mniotilta varia							Mniotilta varia	Animalia	Chordata	Aves	Passeriformes	Parulidae		Mniotilta				varia										
